artist_id,artist_name,artist_type_id,artist_image_url,spotify_url,spotify_desc
1,2 Chainz,3,https://i.scdn.co/image/ab6761610000f178f556662d187b9191c421be1c,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,2 Chainz aka Dos Cadenas aka Big Toni!
2,21 Savage,3,https://i.scdn.co/image/ab6761610000f178e01decbaa565f3feaaade6a9,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,"An Atlanta-based rapper who kicked off his career with the crew Slaughtergang, MC 21 Savage hit as a solo artist with his 2014 single 'Picky'. First single 'Picky' launched his solo career in 2014, and his debut mixtape, The Slaughter Tape, dropped in 2015. The Free Guwop EP, with , landed that same year, as did a second solo mixtape, Slaughter King. In 2016 he joined  for the collaborative EP Savage Mode, which climbed into the Top 25 of the Billboard 200 and peaked at number seven on the Rap Albums chart. Savage's debut full-length arrived in the summer of 2017. Issa Album (/) featured production by , , , and , as well as an appearance by  on 'Whole Lot'."
3,5 Seconds of Summer,1,https://i.scdn.co/image/ab6761610000f17892ce1e218cb7b48386efe3d8,https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy,Your favorite boyband.
4,6ix9ine,3,https://i.scdn.co/image/ab6761610000f1780f9be189941db077530d5ae0,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,N/A
5,A Boogie Wit da Hoodie,3,https://i.scdn.co/image/ab6761610000f1787f69a00b3dacd4d959859dce,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,"Nonchalant flows, memorable hooks, trap beats that make plenty of room for melody, and the occasional hint of R&B smoothness all combine into an effortless style for Bronx rapper A Boogie wit da Hoodie. The rapper hit the scene in 2016, releasing his debut mixtape, Artist, on his own label, but later signing with . He scored big with the triple-platinum single 'Drowning' in 2017, which led to the Top Ten hit The Bigger Artist and its chart-topping 2018 follow-up, Hoodie SZN. Boogie continued his commercial hot streak with projects like 2020's Artist 2.0 and the 2024 studio album Better Off Alone."
7,AJR,4,https://i.scdn.co/image/ab6761610000f178d0f8fb5691ea660889d10eb1,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C,"Re-envisioning what pop can be in the 21st century, AJR unassumingly emerged as a ubiquitous hit-making outlier and one of the biggest indie bands in the world. Since 2012, the multiplatinum indie pop trio—Adam [bass, vocals], Jack [vocals, guitar], and Ryan [ukulele, piano, vocals]—have generated billions of streams and earned one triple-platinum single, one double-platinum single, four platinum singles, and one platinum album. 2019’s Neotheater marked their biggest first-week debut, bowing at #8 on the Billboard Top 200, #1 on the Top Alternative Albums Chart, and #1 on the Top Rock Albums Chart. Cemented as part of the modern zeitgeist, Spotify touted 'Sober Up'[feat. Rivers Cuomo] among the 'Best Rock Songs of the 2010s,' while Apple Music included 'Weak' on its 'Best Alt Songs of the 2010s.' Not to mention, they remain one of the '500 Most-Listened to Artists' on Spotify. On the heels of Neotheater, they dropped the 2020 platinum blockbuster 'BANG!', which they performed on TODAY, The Ellen DeGeneres Show, and even at the Macy’s Thanksgiving Day Parade and raced up the Alternative and Pop Radio charts. Now, the band has opened up their world like never before on their fourth full-length album, OK ORCHESTRA."
9,Anne-Marie,3,https://i.scdn.co/image/ab6761610000f1780f625b6df41bdd56196351bf,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,"Anne-Marie’s rise to stardom has been nothing short of meteoric. A former 3 x world karate champion and West End child star turned multi-platinum-selling artist, Anne-Marie has gone onto become one of the world’s most-loved and successful pop stars of our times. Following a string of chart-busting singles over her career to date – from her Ed Sheeran co-write ‘2002’ to this year’s ‘PSYCHO’ – Anne-Marie is an artist who wins on her playful commentary, idiosyncratic storytelling, magnetic vocals and infectious personality, as was perfectly showcased on her 2018 debut album, Speak Your Mind [that years’ biggest-selling debut release in the UK and an album that’s now sold over four million copies, globally]. Making her prime time debut as a new coach on The Voice this year, Anne-Marie is now working on her 3rd album. "
10,Anuel AA,3,https://i.scdn.co/image/ab6761610000f178c5c589b667f600c299552ee5,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,"Anuel has earned the title of Latin Global Superstar. Because of the success of the song La ocasion, he entered the artistic world. The artist was arrested and sentenced to 30 months in prison in Puerto Rico at the height of his popularity. On the same day as his release from prison in July 2018, Anuel released his album REAL HASTA LA MUERTE, which received overwhelming support from his fans all over the world. The album reached the top of the music charts across all digital platforms. For more than 26 weeks in 2018, Anuel held the title of most viewed musician on YouTube worldwide. He was nominated for and won the Premio Lo Nuestro 2019 for Best New Artist. "
11,Ariana Grande,3,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,"With her four-octave vocal acrobatics and iconic image, American singer, songwriter, and actress Ariana Grande has solidified her place as one of the quintessential pop stars of her generation, racking up stacks of awards and chart records in the process. Emerging in the early 2010s with the hit single The Way, Grande was primed to follow in the footsteps of her biggest influences,  and , due in part to her powerhouse vocals. With its  production, her debut, Yours Truly, underscored her debt to '90s R&B, but Grande quickly incorporated hip-hop and EDM into her sound."
15,Bad Bunny,3,https://i.scdn.co/image/ab6761610000f1788ee9a6f54dcbd4bc95126b14,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,"Bad Bunny is a young urban music singer, rapper and producer originally from Puerto Rico. This talented artist has demonstrated his already overwhelming power, influence and demand with completely sold-out concerts all over Europe, Latin America and the U.S."
