song_id,title,artist_id,genre_id,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
1001,a lot,2,104,2018,146,64,84,-8,34,27,289,4,9,83
1002,Youngblood,3,105,2018,120,85,60,-5,12,15,203,2,46,74
1003,FEFE,4,112,2018,126,39,93,-9,14,38,179,9,41,75
1004,GUMMO,4,112,2018,157,78,66,-5,13,64,158,6,17,67
1005,Swervin (feat. 6ix9ine),5,118,2018,93,66,58,-5,11,43,189,2,30,80
1006,Look Back at It,5,118,2018,96,59,79,-5,15,54,179,41,4,78
1007,God is a woman,11,110,2018,145,66,60,-6,24,27,198,2,6,83
1008,no tears left to cry,11,110,2018,122,71,70,-6,29,35,206,4,6,82
1010,MIA (feat. Drake),15,117,2018,97,54,82,-6,10,16,210,1,6,82
1011,Mine,16,110,2018,143,79,71,-4,45,72,131,2,7,80
1012,lovely (with Khalid),18,103,2018,115,30,35,-10,10,12,200,93,3,91
1016,One Kiss (with Dua Lipa),25,110,2018,124,86,79,-3,8,59,215,4,11,86
1017,Havana (feat. Young Thug),26,110,2018,105,52,77,-4,13,39,217,18,3,84
1018,Never Be the Same,26,110,2018,130,71,64,-4,14,24,227,18,7,79
1019,Bodak Yellow,27,110,2018,125,70,93,-6,23,49,224,7,10,77
1020,I Like It,27,110,2018,136,73,82,-4,37,65,253,10,13,83
1022,Be Careful,27,110,2018,152,57,82,-8,10,54,211,3,41,72
1023,Money,27,110,2018,130,59,95,-7,11,22,184,1,29,78
1025,How Long,29,110,2018,110,56,85,-5,4,81,201,21,8,77
1026,Done for Me (feat. Kehlani),29,110,2018,112,63,86,-4,7,70,180,19,7,72
1027,The Way I Am,29,110,2018,115,77,76,-6,6,64,186,31,19,68
1028,This Is America,31,104,2018,120,46,85,-6,35,55,226,12,14,75
1029,Tequila,34,120,2018,86,58,49,-6,13,49,197,3,3,75
1030,No Brainer,38,110,2018,136,76,55,-5,9,64,260,7,34,71
1031,God's Plan,42,108,2018,77,45,75,-9,55,36,199,3,11,86
1032,Nonstop,42,108,2018,155,41,91,-8,10,42,239,2,12,82
1033,Nice For What,42,108,2018,93,91,59,-6,12,76,211,9,7,81
1034,In My Feelings,42,108,2018,91,63,84,-6,40,35,218,6,13,80
1035,I'm Upset,42,108,2018,150,59,90,-8,8,49,214,28,34,73
1036,Trip,45,110,2018,80,61,48,-6,11,36,214,23,14,77
1039,Shotgun,56,113,2018,116,74,67,-5,24,75,201,29,5,81
1040,Paradise,56,113,2018,138,88,64,-4,21,91,222,21,4,73
1041,Without Me,58,110,2018,136,49,75,-7,9,53,202,30,7,82
1043,Perfect Strangers,65,110,2018,118,86,73,-4,21,70,197,39,5,80
1044,Fast Car,65,110,2018,114,58,67,-7,31,55,212,47,6,77
1045,Rise,65,110,2018,106,79,69,-5,20,66,194,33,3,74
1046,Lucid Dreams,67,109,2018,84,57,51,-7,34,22,240,35,20,89
1047,Love Lies (with Normani),71,119,2018,144,65,71,-6,13,34,202,10,4,78
1048,Better,71,119,2018,98,55,60,-10,10,11,229,8,10,81
1050,Shallow,74,103,2018,96,39,57,-6,23,32,216,37,3,87
1051,I Like Me Better,77,110,2018,92,51,75,-8,10,42,197,54,25,86
1052,Yes Indeed,80,104,2018,120,35,96,-9,11,56,142,4,53,84
1055,Nothing Breaks Like a Heart (feat. Miley Cyrus),100,110,2018,114,79,60,-6,39,24,217,1,7,84
1056,Cold (feat. Future),101,119,2018,100,72,69,-6,5,41,234,14,11,68
1057,Don't Wanna Know (feat. Kendrick Lamar),101,119,2018,100,61,78,-6,10,42,214,34,7,66
1058,Wait,101,119,2018,126,60,66,-5,11,45,191,10,6,64
1059,Happier,102,106,2018,100,79,69,-3,17,67,214,19,5,86
1060,FRIENDS,102,106,2018,95,88,63,-2,13,53,203,21,5,83
1061,Spotlight,102,106,2018,150,82,55,-4,74,62,178,1,15,76
